,title,url,thumbnail_url,channel,description
0,Barbie | Teaser Trailer,https://www.youtube.com/watch?v=8zIf0XvoL9Y,https://i.ytimg.com/vi/8zIf0XvoL9Y/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBMAZVr1I1R_GmSChpQfpy7HmKs3A,Warner Bros. Pictures,"#BarbieTheMovie, from director Greta Gerwig, only in theatres Summer 2023"
1,Barbie Teaser Trailer (2023),https://www.youtube.com/watch?v=LBTFdCeP4Dw,https://i.ytimg.com/vi/LBTFdCeP4Dw/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDJ_-5526KAmdEMlS0LL0_C78LXNA,Rotten Tomatoes Trailers,Check out the official Barbie teaser trailer starring Margot Robbie and Ryan Gosling! ► Buy Tickets on Fandango: https://www.fandango.com/barbie-185727/movie-overview?cmp=Trailers_YouTube_Desc...
2,Marvel Studios’ Guardians of the Galaxy Volume 3 | Official Trailer,https://www.youtube.com/watch?v=u3V5KDHRQvk,https://i.ytimg.com/vi/u3V5KDHRQvk/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLByDLcJr5yL--DHgq_oa19HlC3wbA,Marvel Entertainment,"It’s time to face the music. Watch the brand-new trailer for Marvel Studios’ Guardians of the Galaxy Volume 3 that just debuted at Brazil Comic Con. Only in theaters May 5, 2023. ►..."
3,That '90s Show | Official Teaser | Netflix,https://www.youtube.com/watch?v=jOpoPPIRtdQ,,Netflix,"Welcome back to your favorite basement. Same Formans, new friends. It’s 1995 and Leia Forman, daughter of Eric and Donna, is visiting her grandparents for the summer, where she bonds with..."
4,The Whale | Official Trailer HD | A24,https://www.youtube.com/watch?v=nWiQodhMvz4,,A24,"SUBSCRIBE: http://bit.ly/A24subscribe From director Darren Aronofsky and starring Brendan Fraser, Sadie Sink, and Hong Chau. THE WHALE – Now Playing in Select Theaters & Opening Nationwide..."
5,The Super Mario Bros. Movie | Official Trailer,https://www.youtube.com/watch?v=TnGl01FkMMo,,Illumination,"Warp into the new official #SuperMarioMovie trailer. -- The Super Mario Bros. Movie Only In Theaters April 7, 2023 Facebook: https://uni.pictures/SMBFB Twitter: https://uni.pictures/SMBTW..."
6,Scream VI | Official Teaser Trailer (2023 Movie),https://www.youtube.com/watch?v=pQLb4yBwxvg,,Paramount Pictures,"In a city of millions, no one hears you scream. Watch the official Teaser Trailer for #ScreamVI - Only in theatres March 10, 2023. Following the latest Ghostface killings, the four survivors..."
7,M3GAN - official trailer 2,https://www.youtube.com/watch?v=OoDHM_A1axc,,Universal Pictures,"M3GAN - official trailer 2 only in theaters january 6 she's more than a toy. she's family. From the most prolific minds in horror—James Wan, the filmmaker behind the Saw, Insidious and..."
8,The Last of Us | Official Trailer | HBO Max,https://www.youtube.com/watch?v=uLtkt8BonwM,,HBO Max,"The official #TheLastOfUs trailer is here. From the Emmy award-winning creator of Chernobyl and the creator of the acclaimed video game, the new HBO Original series premieres Jan 15 on @hbomax...."
9,BARBIE - Teaser Trailer - Warner Bros. UK & Ireland,https://www.youtube.com/watch?v=obzdpJQ3y7M,,Warner Bros. UK & Ireland,"#BarbieTheMovie, from director Greta Gerwig, only in cinemas Summer 2023"
